en_wiki,requests,instance_of,logvar
Deadpool,1728814,"mutant,superhero",0.38671354603127356
Negasonic_Teenage_Warhead,577439,mutant,0.6765129273129746
Cable_(comics),356178,"mutant,superhero",1.3878450355884222
Angel_Dust_(comics),348442,"mutant,superhero",0.5164479432231968
Copycat_(Marvel_Comics),325989,"mutant,supervillain,superhero",0.5722760146453936
Ajax_(comics),304475,"fictional character,mutate,superhero",0.6385063942734488
Colossus_(comics),229808,"mutant,superhero",0.5811843835485975
Geordi_La_Forge,183000,fictional human,1.593820584203504
Batman,168041,fictional character,0.07953897312654663
Hunter_Zolomon,164547,comic character,0.4568131006500303
Jessica_Jones,160619,"fictional character,superhero",0.05243812944045079
Jesus,159111,"deity,mythical character,human biblical character",0.08203965667561093
Weasel_(Marvel_Comics),139374,fictional character,0.5396001691598499
Deadshot,137204,"fictional character,supervillain",0.35130551828628276
Negan,130497,"fictional human,comic character",0.8545722522643081
Deathstroke,118902,"fictional character,supervillain",0.15463433615344255
Apocalypse_(comics),116749,"fictional human,supervillain",0.18312496897703637
Lucifer_(DC_Comics),114323,fictional character,0.2531129157926773
Lucifer,113781,"deity,Angels in Judaism,angel in Christianity,fallen angel",0.09951807522047018
Superman,111250,"Kryptonian,superhero",0.08220564159975619
Blind_Al,109100,fictional character,0.6308416639591967
Spider-Man,104823,"mutate,fictional human",0.07993168610805061
Zeus,100459,Twelve Olympians,0.17622881158954648
Sherlock_Holmes,99205,"fictional human,literary character",0.06691197474480559
Harley_Quinn,98989,"fictional character,supervillain",0.08280112601447093
Psylocke,98211,"mutant,superhero",0.44337618632923304
Black_Panther_(comics),96740,"fictional character,mutate,superhero",0.2996136813942275
Kylo_Ren,96492,"character from Star Wars,fictional human,film character",0.16015916653863052
Isis,94875,mythical character,0.16191437047153137
Captain_America,90537,"fictional character,mutate,superhero",0.10206032751863837
Wolverine_(character),87018,"superhero,mutant,fictional character",0.14980747384081775
Horus,86748,"deity,mythical character",0.19739438144070595
Punisher,86127,"fictional human,antihero",0.4388918864548147
Apollo,85765,Twelve Olympians,0.15908798762075155
Suicide_Squad,85258,"fictional character,supervillain",0.11110178473240405
Wonder_Woman,84550,"fictional character,superhero",0.11471350280847437
Shiva,83383,deity,0.05676651804311549
Wally_West,82971,fictional character,0.17323081913302557
Athena,80528,Twelve Olympians,0.15238535926743163
Cthulhu,79310,Great Old One,0.12961381153932303
Flash_(Barry_Allen),78734,fictional human,0.09081637873340334
Doctor_Strange,77877,"fictional character,superhero",0.1381917692412291
Green_Arrow_(Connor_Hawke),77751,fictional character,1.2273706875873474
Joker_(comics),76957,"fictional human,comic character,film character,television character,supervillain",0.0846743909240747
Aphrodite,76608,Twelve Olympians,0.14236596131308357
Iron_Man,75326,"fictional character,superhero",0.07077017235449014
Darth_Vader,72904,"character from Star Wars,fictional human",0.10185531014214541
Thanos,72813,"fictional character,supervillain",0.09963722102787924
Flash_(comics),71557,fictional character,0.12104330624912148
Moses,71082,human biblical character,0.0918458843411431
Prometheus,70940,Titan,0.14103466330256212
Flash_(Jay_Garrick),70859,fictional human,0.48573019635585746
Iron_Fist_(comics),70373,"fictional character,superhero",0.6535733121574118
"Bob,_Agent_of_Hydra",70074,"fictional character,superhero",1.7821673924968062
Green_Arrow,69305,fictional human,0.1561472895345374
Flying_Spaghetti_Monster,66694,deity,0.20467390294145224
Vixen_(comics),66131,fictional character,1.0493293751555453
Vision_(Marvel_Comics),66081,"fictional character,superhero",0.16878797372742874
Luke_Cage,65560,"fictional human,mutate,superhero",0.08904733815664866
Lilith,65248,fictional character,0.09827978535129635
Crossbones_(comics),63628,supervillain,0.5402831853724429
Dionysus,63179,Twelve Olympians,0.1483322137754993
Artemis,62930,Twelve Olympians,0.15409987931429925
Achilles,62811,mythological Greek character,0.10187483845114857
Daredevil_(Marvel_Comics),62500,"fictional human,mutate,superhero",0.1302468555943394
Elektra_(comics),62202,fictional human,0.615459309012456
Spawn_(comics),62136,fictional character,0.46603658905625206
Hades,61074,Greek deity,0.2060265021000351
Poseidon,60566,"water deity,Twelve Olympians",0.22347320404752608
Death_(Marvel_Comics),59919,fictional character,0.3053440450277442
Enchantress_(DC_Comics),59910,fictional character,0.09495082034399337
Firestorm_(comics),59533,fictional character,0.11034027134745686
Osiris,59498,deity,0.1473331544639056
Ra,59085,"deity,mythical character",0.15742662452807907
Vibe_(comics),59074,fictional character,0.34688332541688216
Odin,58716,Norse deity,0.0875675435311378
Krishna,58218,deity,0.06298527533802088
Cronus,58102,Titan,0.16623215047148834
Abraham,57629,human biblical character,0.1031007353178543
Hermes,57605,Twelve Olympians,0.14405786308610996
Eobard_Thawne,57568,"fictional character,supervillain",0.1484775061259266
Vandal_Savage,57342,"fictional human,supervillain",0.11345253923032564
Apollo_Creed,56977,fictional human,0.1555058132374671
Mickey_Mouse,56393,"fictional character,funny animal",0.14732172134414992
Doomsday_(comics),55588,"comic character,supervillain",0.1380022665470797
Anubis,55020,"Ancient Egyptian deity,mythical hybrid,death deity",0.16118539242921304
Reverse-Flash,54154,fictional character,0.1896764385700424
Captain_Marvel_(DC_Comics),54083,fictional character,0.12098968056875789
Hercules,53579,mythical character,0.12749427992709986
Dana_Scully,53141,"fictional human,television character",0.24298683630393916
Satan,53008,"mythical character,fallen angel",0.06908870712170087
Jason_Bourne,52863,fictional character,0.7494836179753203
Saul_Goodman,52520,Breaking Bad character,0.2389967802469513
Purple_Man,51979,supervillain,0.09901070793378897
Hulk_(comics),51543,"mutate,mutant,superhero",0.09346686504399783
Hannibal_Lecter,51451,"fictional human,literary character,film character,television character",0.09372198826782532
David,51334,human biblical character,0.12545054673660633
Jean_Grey,50762,"mutant,superhero",0.17130867766657873
Vishnu,50632,deity,0.05549008499546491
Indiana_Jones,49894,"fictional human,film character",0.1133630475508596
Rip_Hunter,49622,fictional character,0.12604780885587566
Ares,49612,Twelve Olympians,0.22357431377778086
Sun_Wukong,49370,fictional monkey,0.13789751267073544
Scarlet_Witch,49212,"supervillain,superhero",0.12349524775423402
Leviathan,49141,"mythological serpent,biblical character",0.08381149064711865
Sharon_Carter,48537,fictional character,0.2248665935737696
Rocky_Balboa,48298,fictional human,0.21766807531379576
Martian_Manhunter,48209,fictional humanoid extraterrestrial,0.09576394514660312
