en_wiki,requests,occupation,logvar
Kanye_West,940181,"singer,rapper",0.6882018065858525
Sia_Furler,562789,"singer,songwriter,composer",0.5612310880109864
Brie_Larson,555301,"singer,musician,singer-songwriter",0.6390245474733175
Beyonc%C3%A9,503342,"record producer,singer-songwriter,singer,composer,musician",0.4770474630141988
David_Bowie,502810,"singer-songwriter,guitarist,saxophonist,composer,record producer",0.12138226589650976
Adele,480541,"singer-songwriter,singer,guitarist",0.16186903381009007
Keanu_Reeves,471244,"singer,musician",0.5396037699960778
Rihanna,419017,singer,0.18010389392727263
Taylor_Swift,409519,"singer-songwriter,pianist,bajista,composer,guitarist",0.27619083172321957
Zayn_Malik,405848,singer,0.0853014522897998
Kesha,402165,"singer,composer,singer-songwriter,yodeler",1.7812259964293502
Lady_Gaga,390866,"singer,songwriter,record producer,composer,pianist,musician",0.5030283604054407
Michael_Jackson,361344,"singer,singer-songwriter,composer,musician,songwriter,record producer",0.1256237352060531
Bill_Clinton,347856,saxophonist,0.15087731299665075
Kendrick_Lamar,338141,"singer,songwriter,rapper",0.48580195142210614
Justin_Bieber,329738,"singer-songwriter,singer,musician",0.10389921555272404
Harper_Lee,315856,musician,1.6708487894151818
Kate_Winslet,310444,singer,0.4399351509495287
Drake_(rapper),301162,"singer,musician",0.17200712591504513
The_Weeknd,294674,"singer,record producer,musician,songwriter",0.2782761578458123
Bruno_Mars,294575,"singer,composer,record producer,singer-songwriter,musician,songwriter",0.521770223503679
Eminem,290255,"rapper,composer,songwriter",0.06966423062859961
Dr._Dre,287889,"record producer,musician,composer,rapper",0.17925793888132627
Alejandro_Gonz%C3%A1lez_I%C3%B1%C3%A1rritu,271738,composer,0.6465568173768445
Scarlett_Johansson,255754,singer,0.0833199003839672
Chris_Martin,248687,"musician,singer-songwriter",0.47674464148459134
Ice_Cube,245369,"musician,rapper",0.08881336841068475
Johnny_Depp,232091,"guitarist,musician",0.11608220445115176
Charles_Manson,229546,"singer-songwriter,musician",0.40435099836618976
Maurice_White,224650,"singer-songwriter,bandleader,musician",1.8422990034716178
Tupac_Shakur,224529,rapper,0.10574538573855033
Ed_Skrein,214305,singer,0.622016548886297
Eazy-E,210974,"musician,rapper",0.0983787543992233
Selena_Gomez,210416,"singer,musician,guitarist,composer",0.07961973032525829
Leonardo_da_Vinci,209761,"composer,musician",0.1461891075715106
Charlie_Chaplin,206808,composer,0.24523719241117928
Demi_Lovato,203442,"singer,singer-songwriter,composer,musician",0.36079325034210785
Elvis_Presley,203306,singer,0.10093550740846098
%22Weird_Al%22_Yankovic,201041,"singer,singer-songwriter,musician,composer",0.7209539243065496
Amy_Winehouse,194891,"singer-songwriter,guitarist,jazz musician",0.14883749544766167
Elton_John,194501,"singer-songwriter,composer,singer",0.26480872898594643
Yuen_Ren_Chao,189278,composer,1.089295101470641
Kelly_Clarkson,184131,"singer,singer-songwriter,composer,musician",1.027109609809503
Ariana_Grande,183139,"singer,composer",0.05581217007907303
Vanessa_Hudgens,183117,"singer,musician",0.5745216300524865
Madonna_(entertainer),182632,"singer-songwriter,composer,singer,record producer,songwriter",0.06251893379203219
Bob_Marley,176509,"singer-songwriter,singer,guitarist,composer",0.1554054896898471
Julianne_Hough,176390,musician,0.5610653397026889
Kaley_Cuoco,175816,singer,0.270019533731561
Henry_VIII_of_England,175574,"composer,musician",0.11802581362952502
Marilyn_Monroe,171208,singer,0.09709601185306924
Future_(rapper),171036,"singer-songwriter,musician,songwriter,composer,rapper",0.23715514846637878
Will_Smith,168485,"singer,rapper",0.13199250160584547
Ed_Sheeran,167265,"singer-songwriter,musician",0.18738668685039642
Freddie_Mercury,164790,"singer-songwriter,guitarist,pianist,composer",0.0686064924876438
Prince_(musician),163883,"guitarist,singer,singer-songwriter,composer,musician,songwriter,record producer",0.2727298866072589
Katy_Perry,162607,"singer,composer,musician,record producer",0.14347378311481115
Benjamin_Franklin,161258,musician,0.25678242220399583
John_Lennon,159489,"record producer,singer-songwriter,guitarist,composer",0.0938128143548957
Tom_Hanks,157886,composer,0.1155852814621495
Jay_Z,157235,rapper,0.21461203775118953
Gwen_Stefani,156080,"singer,composer,singer-songwriter",0.3252572024540739
Ethel_Merman,155994,singer,1.2775306539940539
Priyanka_Chopra,154950,singer,0.2204100105960173
Idris_Elba,154623,disc jockey,0.1342816175692448
John_Travolta,151529,"singer,musician",0.22074144576992027
Suge_Knight,151480,record producer,0.1524602054326089
Wolfgang_Amadeus_Mozart,148956,"composer,pianist,musician,organist,virtuoso",0.08351904749502556
Dick_Van_Dyke,148568,"singer,musician",0.6952877004579845
Snoop_Dogg,148315,"rapper,musician,record producer",0.07469299665553351
Fetty_Wap,146814,"musician,rapper",0.24406114198273532
Gwyneth_Paltrow,146046,"singer,musician",0.22959636749126675
Amber_Rose,144131,musician,0.2333354713153682
Glenn_Frey,142616,"singer,pianist,musician",0.317194320883049
Hugh_Jackman,141944,"singer,musician",0.10984152395341336
Lin-Manuel_Miranda,140852,composer,0.7414457583065573
Ellie_Goulding,140450,"guitarist,singer-songwriter",0.18885477496149491
Clint_Eastwood,138951,"composer,jazz musician",0.1251853939465016
Jennifer_Lopez,138743,"singer,composer,singer-songwriter,record producer",0.07860209492112397
Oscar_Isaac,138418,"guitarist,singer",0.11559834154032474
Paul_McCartney,138162,"singer,guitarist,composer,bassist,songwriter,singer-songwriter",0.10594662403422012
Miley_Cyrus,138044,"singer,singer-songwriter,composer,musician",0.07635331011033976
Ludwig_van_Beethoven,136069,"composer,pianist,conductor,organist,virtuoso",0.09297853484338493
Shawn_Mendes,134843,"singer,musician,singer-songwriter",0.1110524580762821
Johnny_Cash,133417,"guitarist,singer-songwriter,singer,composer,musician,songwriter",0.2155951261920956
Charlie_Puth,132648,singer,0.07235347065789854
Bob_Dylan,132423,"singer-songwriter,guitarist,record producer,composer",0.07833289260295909
Elle_King,132134,singer,0.2694982184041195
Britney_Spears,131375,"singer,singer-songwriter,composer,musician",0.07519739697342243
Frank_Sinatra,130886,"singer,jazz musician",0.10494212512360268
Shah_Rukh_Khan,130236,singer,0.12237788794615921
Jimi_Hendrix,130022,"guitarist,singer-songwriter,singer,composer,musician,record producer",0.14087355175375355
G-Eazy,128291,rapper,0.1167035653968476
Wiz_Khalifa,127786,"rapper,musician",0.18438909346824753
Ariel_Winter,127619,singer,0.6053857994494005
Ennio_Morricone,127368,"composer,conductor",0.5004233134028858
Lana_Del_Rey,126404,"singer-songwriter,composer",0.08350715864531266
Cara_Delevingne,126114,singer,0.0741778713665769
Kurt_Cobain,125896,"guitarist,singer-songwriter,singer,composer,musician",0.12728044434763533
Tori_Kelly,123914,"singer,composer",0.6296073327263318
Mariah_Carey,122745,"singer,singer-songwriter,composer,musician",0.09031733120631166
Nicki_Minaj,122114,"composer,singer,songwriter,singer-songwriter,rapper",0.08211695262286564
Ryan_Gosling,121707,musician,0.10590926454730759
Harry_Styles,121295,singer,0.10343637143537199
Anne_Hathaway,119810,singer,0.07186313194796318
Zac_Efron,119381,"singer,disc jockey",0.08871226796609884
Bruce_Springsteen,119283,"guitarist,singer-songwriter,composer",0.17690542899095024
Meghan_Trainor,119160,"singer-songwriter,singer,record producer,musician,songwriter,composer",0.289470346045246
Jackie_Chan,118981,singer,0.04288045247428137
Sam_Smith_(singer),118760,"singer,composer,singer-songwriter",0.3647860585850532
Whitney_Houston,117451,"singer,pianist,musician",0.17652042254757258
Stevie_Wonder,117172,"singer-songwriter,record producer,singer,pianist,composer",0.20968592138744097
Celine_Dion,116352,"singer,musician",0.16420815394296517
Halsey_(singer),116340,singer,0.19815099823492005
John_Stamos,116135,singer,0.5835470038496443
Christina_Aguilera,115093,"singer,singer-songwriter,composer,musician,record producer",0.22934740340473753
The_Notorious_B.I.G.,114773,"musician,rapper",0.10724475543036525
Mark_Wahlberg,114396,musician,0.09280764616239844
Shakira,113825,"composer,singer",0.10402483302964684
DJ_Khaled,113141,"disc jockey,record producer,musician",0.1676091481644428
Alice_Cooper,112775,"singer-songwriter,musician",0.36830239468639614
George_Harrison,112211,"guitarist,singer,songwriter,composer,singer-songwriter",0.17949714132367545
Tyga,111758,"singer,rapper",0.2627287755365143
